2026-04-11 20:21:40.686860: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:467] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
E0000 00:00:1775938900.708604    9150 cuda_dnn.cc:8579] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
E0000 00:00:1775938900.717085    9150 cuda_blas.cc:1407] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
W0000 00:00:1775938900.734410    9150 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
W0000 00:00:1775938900.734443    9150 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
W0000 00:00:1775938900.734513    9150 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
W0000 00:00:1775938900.734544    9150 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
Starting 3m MAPPO Baseline...
Step   868352 | Return:       1.62 | Win Rate:  0.67 | Loss:     0.0249 | Ent:   0.1391 | GradN(actor/critic):   0.1282/  0.3183 | pair_cos(all/ff/nff):  0.5649/ 0.5744/ 0.5579 | ff_frac: 0.4229
Step   884736 | Return:       1.62 | Win Rate:  0.66 | Loss:     0.0265 | Ent:   0.1433 | GradN(actor/critic):   0.0924/  0.4296 | pair_cos(all/ff/nff):  0.5660/ 0.5758/ 0.5591 | ff_frac: 0.4126
Step   901120 | Return:       1.61 | Win Rate:  0.65 | Loss:     0.0259 | Ent:   0.1417 | GradN(actor/critic):   0.1751/  0.2843 | pair_cos(all/ff/nff):  0.5669/ 0.5765/ 0.5601 | ff_frac: 0.4152
Step   917504 | Return:       1.66 | Win Rate:  0.70 | Loss:     0.0247 | Ent:   0.1478 | GradN(actor/critic):   0.1340/  0.3714 | pair_cos(all/ff/nff):  0.5599/ 0.5760/ 0.5482 | ff_frac: 0.4235
Step   933888 | Return:       1.64 | Win Rate:  0.69 | Loss:     0.0236 | Ent:   0.1412 | GradN(actor/critic):   0.1315/  0.2126 | pair_cos(all/ff/nff):  0.5660/ 0.5823/ 0.5543 | ff_frac: 0.4171
Step   950272 | Return:       1.65 | Win Rate:  0.69 | Loss:     0.0228 | Ent:   0.1333 | GradN(actor/critic):   0.1183/  0.2134 | pair_cos(all/ff/nff):  0.5678/ 0.5810/ 0.5582 | ff_frac: 0.4212
Step   966656 | Return:       1.66 | Win Rate:  0.70 | Loss:     0.0226 | Ent:   0.1322 | GradN(actor/critic):   0.1046/  0.2792 | pair_cos(all/ff/nff):  0.5643/ 0.5757/ 0.5558 | ff_frac: 0.4296
Step   983040 | Return:       1.67 | Win Rate:  0.71 | Loss:     0.0247 | Ent:   0.1252 | GradN(actor/critic):   0.2022/  0.4024 | pair_cos(all/ff/nff):  0.5742/ 0.5910/ 0.5615 | ff_frac: 0.4311
Step   999424 | Return:       1.65 | Win Rate:  0.69 | Loss:     0.0246 | Ent:   0.1273 | GradN(actor/critic):   0.2361/  0.2233 | pair_cos(all/ff/nff):  0.5743/ 0.5853/ 0.5660 | ff_frac: 0.4304
Step  1015808 | Return:       1.65 | Win Rate:  0.70 | Loss:     0.0233 | Ent:   0.1287 | GradN(actor/critic):   0.1550/  0.3123 | pair_cos(all/ff/nff):  0.5730/ 0.5911/ 0.5597 | ff_frac: 0.4249
